lot_number,primary_model_id,model_id,primary_mae_um,model_mae_um,model_minus_primary_mae_um
9,cycle_ridge,rbf_svr,0.048550639080983636,0.15859704320920542,0.11004640412822178
10,cycle_ridge,rbf_svr,0.1545326342489055,0.21242653790782917,0.05789390365892366
1,cycle_ridge,pca_gpr,0.06547453305238646,0.06544647100706334,-2.8062045323115625e-05
2,cycle_ridge,pca_gpr,0.17785591233761125,0.1948282236000729,0.016972311262461653
3,cycle_ridge,pca_gpr,0.1234631067683118,0.16056911980930905,0.03710601304099724
4,cycle_ridge,pca_gpr,0.12998335061686958,0.09070149772382621,-0.03928185289304337
5,cycle_ridge,pca_gpr,0.11207757559153393,0.2830044406914617,0.17092686509992777
6,cycle_ridge,pca_gpr,0.15075943456875507,0.14935030441471825,-0.0014091301540368195
7,cycle_ridge,pca_gpr,0.11013191806509089,0.1297388815260554,0.019606963460964508
8,cycle_ridge,pca_gpr,0.16627156431375525,0.198088720057153,0.031817155743397746
9,cycle_ridge,pca_gpr,0.048550639080983636,0.21119233454670588,0.16264169546572224
10,cycle_ridge,pca_gpr,0.1545326342489055,0.14958916854292248,-0.00494346570598303
1,cycle_ridge,extra_trees,0.06547453305238646,0.07488244524472126,0.009407912192334805
2,cycle_ridge,extra_trees,0.17785591233761125,0.16001478004343356,-0.017841132294177692
3,cycle_ridge,extra_trees,0.1234631067683118,0.15302469079350872,0.029561584025196916
4,cycle_ridge,extra_trees,0.12998335061686958,0.14437425086399572,0.014390900247126137
5,cycle_ridge,extra_trees,0.11207757559153393,0.2015147960630692,0.08943722047153528
6,cycle_ridge,extra_trees,0.15075943456875507,0.1270270168883229,-0.02373241768043216
7,cycle_ridge,extra_trees,0.11013191806509089,0.14408316791658274,0.03395124985149185
8,cycle_ridge,extra_trees,0.16627156431375525,0.09480264993270708,-0.07146891438104817
9,cycle_ridge,extra_trees,0.048550639080983636,0.14140049958886575,0.0928498605078821
10,cycle_ridge,extra_trees,0.1545326342489055,0.1587623433460088,0.004229709097103296
